Date,Sales,,From website
ינו-95,1664.81,,
פבר-95,2397.53,,
מרץ-95,2840.71,,
אפר-95,3547.29,,
מאי-95,3752.96,,
יונ-95,3714.74,,
יול-95,4349.61,,
אוג-95,3566.34,,
ספט-95,5021.82,,
אוק-95,6423.48,,
נוב-95,7600.6,,
דצמ-95,19756.21,,
ינו-96,2499.81,,
פבר-96,5198.24,,
מרץ-96,7225.14,,
אפר-96,4806.03,,
מאי-96,5900.88,,
יונ-96,4951.34,,
יול-96,6179.12,,
אוג-96,4752.15,,
ספט-96,5496.43,,
אוק-96,5835.1,,
נוב-96,12600.08,,
דצמ-96,28541.72,,
ינו-97,4717.02,,
פבר-97,5702.63,,
מרץ-97,9957.58,,
אפר-97,5304.78,,
מאי-97,6492.43,,
יונ-97,6630.8,,
יול-97,7349.62,,
אוג-97,8176.62,,
ספט-97,8573.17,,
אוק-97,9690.5,,
נוב-97,15151.84,,
דצמ-97,34061.01,,
ינו-98,5921.1,,
פבר-98,5814.58,,
מרץ-98,12421.25,,
אפר-98,6369.77,,
מאי-98,7609.12,,
יונ-98,7224.75,,
יול-98,8121.22,,
אוג-98,7979.25,,
ספט-98,8093.06,,
אוק-98,8476.7,,
נוב-98,17914.66,,
דצמ-98,30114.41,,
ינו-99,4826.64,,
פבר-99,6470.23,,
מרץ-99,9638.77,,
אפר-99,8821.17,,
מאי-99,8722.37,,
יונ-99,10209.48,,
יול-99,11276.55,,
אוג-99,12552.22,,
ספט-99,11637.39,,
אוק-99,13606.89,,
נוב-99,21822.11,,
דצמ-99,45060.69,,
ינו-00,7615.03,,
פבר-00,9849.69,,
מרץ-00,14558.4,,
אפר-00,11587.33,,
מאי-00,9332.56,,
יונ-00,13082.09,,
יול-00,16732.78,,
אוג-00,19888.61,,
ספט-00,23933.38,,
אוק-00,25391.35,,
נוב-00,36024.8,,
דצמ-00,80721.71,,
ינו-01,10243.24,,
פבר-01,11266.88,,
מרץ-01,21826.84,,
אפר-01,17357.33,,
מאי-01,15997.79,,
יונ-01,18601.53,,
יול-01,26155.15,,
אוג-01,28586.52,,
ספט-01,30505.41,,
אוק-01,30821.33,,
נוב-01,46634.38,,
דצמ-01,104660.67,,
