Transaction,item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9
1,0,0,0,0,0,0,0,1,0
2,0,0,1,1,0,0,0,1,0
3,0,0,0,0,0,0,0,1,0
4,0,0,1,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,0,1,0
7,0,0,0,0,0,1,0,0,1
8,0,0,1,0,1,0,1,0,1
9,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,1,0,1
12,1,0,0,1,1,0,0,1,1
13,0,0,0,0,1,0,1,0,1
14,0,0,0,0,0,1,1,1,0
15,0,0,1,0,0,0,1,0,1
16,1,0,0,1,0,0,0,0,1
17,0,0,0,0,0,1,1,1,0
18,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,1
21,0,1,0,0,1,1,0,1,0
22,0,0,0,1,0,1,0,0,1
23,0,0,0,0,0,1,0,0,1
24,0,0,0,0,0,0,0,1,1
25,0,0,0,0,0,1,0,1,0
26,1,0,0,0,0,1,0,1,0
27,0,0,0,0,1,0,0,1,0
28,0,0,0,1,0,0,0,1,1
29,0,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,1,0
31,1,0,0,0,1,0,0,1,0
32,0,0,1,0,0,1,0,0,1
33,0,0,0,0,0,0,1,0,1
34,0,0,0,0,0,0,1,1,1
35,0,0,1,1,0,1,0,1,0
36,1,0,0,1,0,0,0,1,0
37,0,0,0,1,0,0,1,1,0
38,0,0,0,0,0,0,0,1,1
39,0,0,0,1,1,0,1,0,1
40,0,1,0,0,0,0,0,1,1
41,0,1,0,0,1,0,0,0,1
42,1,1,0,0,0,0,1,0,1
43,0,0,0,0,1,0,0,1,0
44,1,0,0,0,0,0,1,1,0
45,0,0,0,0,0,0,0,1,0
46,0,1,0,0,0,0,1,0,1
47,0,0,0,1,0,1,0,0,1
48,0,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,1,1,1,0
