"endTime","startTime","text"
975,0,"(Trap House Mob)"
4833,1861,"Huh, roll another one (Aha, ha ha)"
11169,9126,"Said I'm never lackin', always pistol packing"
13052,11079,"With them automatics, we gon' send him to heaven"
21382,13102,"Wait, wait, wait, wait, ayy, ayy, woo (Aw, shit), huh (Ha ha)"
22970,21392,"Oh you feelin' sturdy, huh? (You feelin' sturdy, man)"
23397,22863,"Shake somethin'"
26369,24001,"Shake it, shake it, shake it"
27905,26512,"She like the way that I dance"
29440,28280,"She like the way that I move"
31089,29980,"She like the way that I rock"
32761,31580,"She like the way that I woo"
34688,33125,"And she let it clap for a nigga"
36267,35089,"(She let it clap for a nigga)"
38032,36506,"And she throw it back for a nigga"
39680,38386,"(Yeah, she throw it back for a nigga)"
41561,40076,"Mike Amiri, Mike Amiri"
44838,42724,"Billie Jean, Billie Jean (Uh)"
46510,45188,"Christian Dior, Dior"
48089,46954,"I'm up in all the stores"
51595,50320,"When it rains, it pours"
53337,51923,"She like the way I rrr"
55078,53781,"Mike Amiri, Mike Amiri"
58352,56198,"Billie Jean, Billie Jean (Uh)"
60163,58775,"Christian Dior, Dior"
61742,60419,"I'm up in all the stores"
65132,63950,"When it rains, it pours"
67132,65457,"She like the way I rrr"
68874,67000,"When I walk in the spot, thirty on me"
70479,68832,"Buy out the club, niggas know that I'm paid"
72177,70530,"Bitch, I'm a thot, get me lit"
73898,72022,"I can't fuck with these niggas 'cause niggas is gay"
75410,73949,"All on my page suckin' dick"
77038,75460,"All in my comments and screamin' my name"
78037,77201,"While I'm in the club"
80246,78064,"Throwin' them hundreds and fifties and ones and ones"
82501,80542,"Pop Smoke, they know I'm wildin'"
83973,82326,"If I'm on the island, I'm snatchin' the cell"
85575,84001,"Brody got locked, denied his bail"
87317,85744,"Until he free, I'm raisin' hell"
88713,87459,"Tell my shooters call me FaceTime"
90547,88927,"For all the times we had to face time"
92196,90623,"Free D-Nice, he doin' state time"
93775,92224,"If you need the glizzy, you could take mine"
95984,93854,"Please don't come out your mouth, you know I'm like that"
97450,95967,"I'll make a movie like TNT"
99148,97479,"Glock-30 on me, ask who really want it"
100823,99291,"I bet I air it like BNB"
102077,100922,"Nappy Blue wildin' in my section"
103749,102222,"And I keep that .38 for the weapon"
105420,103915,"Remember when I came home from corrections"
107069,105587,"All the bad bitches in my direction"
108860,107635,"She like the way that I dance"
110716,109347,"She like the way that I move"
112295,111091,"She like the way that I rock"
114037,112691,"She like the way that I woo"
115802,114319,"And she let it clap for a nigga"
117450,116201,"(She let it clap for a nigga)"
119171,117434,"And she throw it back for a nigga"
120727,119497,"(Yeah, she throw it back for a nigga)"
122379,121310,"Mike Amiri, Mike Amiri"
125792,123798,"Billie Jean, Billie Jean (Uh)"
127626,126259,"Christian Dior, Dior"
129205,127958,"I'm up in all the stores"
132781,131528,"When it rains, it pours"
134871,133109,"She like the way I rrr"
136055,134783,"Mike Amiri, Mike Amiri"
139376,137358,"Billie Jean, Billie Jean (Uh)"
141280,139634,"Christian Dior, Dior"
142885,141469,"I'm up in all the stores"
146295,145020,"When it rains, it pours"
148455,146486,"She like the way I rrr"
