"unixTime","revMill"
601970400,20649000
633506400,25810700
665042400,32601600
696578400,43886900
728200800,55483800
759736800,67344600
791272800,82494000
822808800,93627000
854431200,104859000
885967200,117958000
917503200,137634000
949039200,165013000
980661600,191329000
1012197600,205823000
1043733600,231577000
1075269600,258681000
1106892000,284310000
1138428000,312101000
1169964000,348368000
1201500000,378476000
1233122400,404374000
1264658400,408085000
1296194400,421849000
1327730400,446509000
1359352800,468651000
1390888800,476294000
1422424800,485651000
1453960800,482130000
1485583200,485873000
1517119200,500343000
